# CSV格式: 源文本,翻译
# Language Code: zh

Customer Order,客户订单
Sales Person,业务员
Mobile Order,手机下单
Order Status,订单状态
Pending,待审核
Approved,已确认
Rejected,已拒绝
Customer Name,客户姓名
Select Sales Person,请选择业务员
Series,系列
Brand,品牌
Model,型号
Color,颜色
Add to Cart,加入购物车
Checkout,去结算
Submit Order,提交订单
Order Submitted Successfully,订单提交成功
Order ID,订单号
Please wait for approval,请等待审核
Continue,继续
View Order,查看订单
Cart,购物车
Search Model,搜索型号
Please enter your name,请输入您的姓名
Please select a sales person,请选择业务员
Series First,系列优先
Model First,型号优先
Admin,后台管理
Sales Person Management,业务员管理
Order Review,订单审核
Add New,新增
Edit,编辑
Delete,删除
Enable,启用
Disable,禁用
Approve,审核通过
Reject,审核拒绝
Reject Reason,拒绝原因
